force,pos,j_d1,j_d2,ur_loop1,ur_loop2,bench,target_clock,estimated_clock,min_latency,max_latency,bram_used,dsp48_used,ff_used,lut_used
4,4,4,4,4,4,full-stencil2d-outer:machsuite-md-knn-3-3-3-3-3-3,4.0,2.92,10304,10304,1380,4736,785211,471843
2,2,1,4,1,2,full-stencil2d-outer:machsuite-md-knn-1-1-0-3-0-1,4.0,2.92,10688,10688,366,1184,200231,122896
1,4,4,4,1,8,full-stencil2d-outer:machsuite-md-knn-0-3-3-3-0-7,4.0,2.92,10688,10688,516,1184,199961,123960
4,2,2,1,2,2,full-stencil2d-outer:machsuite-md-knn-3-1-1-0-1-1,4.0,2.92,11194,11194,660,592,140106,68651
4,4,4,1,4,2,full-stencil2d-outer:machsuite-md-knn-3-3-3-0-3-1,4.0,2.92,10682,10682,1236,1184,275456,131651
4,4,4,4,2,1,full-stencil2d-outer:machsuite-md-knn-3-3-3-3-1-0,4.0,2.92,10432,10432,816,2368,395117,243767
4,4,2,4,1,8,full-stencil2d-outer:machsuite-md-knn-3-3-1-3-0-7,4.0,2.92,10688,10688,438,1184,199972,124030
2,2,4,4,1,2,full-stencil2d-outer:machsuite-md-knn-1-1-3-3-0-1,4.0,2.92,10688,10688,510,1184,200306,124984
4,2,2,2,4,1,full-stencil2d-outer:machsuite-md-knn-3-1-1-1-3-0,4.0,2.92,10682,10682,1236,1184,275511,131684
4,1,2,1,1,2,full-stencil2d-outer:machsuite-md-knn-3-0-1-0-0-1,4.0,2.92,12218,12218,372,296,72267,37381
4,4,2,2,4,1,full-stencil2d-outer:machsuite-md-knn-3-3-1-1-3-0,4.0,2.92,10682,10682,1236,1184,275532,131672
4,1,4,1,2,1,full-stencil2d-outer:machsuite-md-knn-3-0-3-0-1-0,4.0,2.92,11194,11194,660,592,140029,69841
4,2,4,2,1,4,full-stencil2d-outer:machsuite-md-knn-3-1-3-1-0-3,4.0,2.92,11198,11198,426,592,114974,67407
4,4,2,4,4,2,full-stencil2d-outer:machsuite-md-knn-3-3-1-3-3-1,4.0,2.92,10430,10430,1284,2368,445621,246525
4,1,2,2,1,4,full-stencil2d-outer:machsuite-md-knn-3-0-1-1-0-3,4.0,2.92,11198,11198,372,592,114895,66594
2,1,4,1,2,1,full-stencil2d-outer:machsuite-md-knn-1-0-3-0-1-0,4.0,2.92,11194,11194,648,592,139963,69825
4,1,2,1,1,1,full-stencil2d-outer:machsuite-md-knn-3-0-1-0-0-0,4.0,2.92,12218,12218,372,296,72267,37381
4,4,2,2,1,2,full-stencil2d-outer:machsuite-md-knn-3-3-1-1-0-1,4.0,2.92,11198,11198,390,592,114994,66917
1,4,4,2,1,4,full-stencil2d-outer:machsuite-md-knn-0-3-3-1-0-3,4.0,2.92,11198,11198,420,592,114983,67071
