seqa_bank,seqb_bank,ptr_bank1,ptr_bank2,m_bank1,m_bank2,unrolla,unrollb,bench,target_clock,estimated_clock,min_latency,max_latency,bram_used,dsp48_used,ff_used,lut_used
1,4,2,1,1,2,2,2,nw-estimate::machsuite-nw-0-2-1-0-0-1-1-1,4.0,2.92,66922,72354,63,0,4706,9351
4,1,2,1,1,2,2,2,nw-estimate::machsuite-nw-2-0-1-0-0-1-1-1,4.0,2.92,66922,72354,63,0,4763,9375
4,1,4,2,2,2,2,2,nw-estimate::machsuite-nw-2-0-2-1-1-1-1-1,4.0,2.92,66922,72354,73,0,4810,9498
2,2,1,4,2,2,2,2,nw-estimate::machsuite-nw-1-1-0-2-1-1-1-1,4.0,2.92,66922,72354,72,0,4742,9380
2,2,4,2,4,2,4,4,nw-estimate::machsuite-nw-1-1-2-1-2-1-2-2,4.0,3.035,54662,60094,84,0,6620,14444
1,4,2,2,4,2,2,4,nw-estimate::machsuite-nw-0-2-1-1-2-1-1-2,4.0,3.068,66856,72288,85,0,5384,11508
4,1,4,4,2,1,2,2,nw-estimate::machsuite-nw-2-0-2-2-1-0-1-1,4.0,2.92,66922,72354,67,0,4700,10029
1,4,4,1,2,2,2,2,nw-estimate::machsuite-nw-0-2-2-0-1-1-1-1,4.0,2.92,66922,72354,73,0,4861,9427
2,1,4,4,2,2,4,2,nw-estimate::machsuite-nw-1-0-2-2-1-1-2-1,4.0,3.035,54728,60160,71,0,5547,11686
4,4,2,2,4,1,2,4,nw-estimate::machsuite-nw-2-2-1-1-2-0-1-2,4.0,3.068,66856,72288,76,0,5266,11819
4,2,2,4,2,4,4,2,nw-estimate::machsuite-nw-2-1-1-2-1-2-2-1,4.0,3.035,54728,60160,86,0,5288,10932
2,4,4,4,4,2,4,4,nw-estimate::machsuite-nw-1-2-2-2-2-1-2-2,4.0,3.035,54662,60094,86,0,6717,15501
4,2,4,2,2,2,4,2,nw-estimate::machsuite-nw-2-1-2-1-1-1-2-1,4.0,3.035,54728,60160,74,0,5590,11274
2,4,2,2,2,2,4,2,nw-estimate::machsuite-nw-1-2-1-1-1-1-2-1,4.0,3.068,54728,60160,74,0,5372,10851
1,4,4,4,1,2,2,2,nw-estimate::machsuite-nw-0-2-2-2-0-1-1-1,4.0,2.92,66922,72354,67,0,4757,10097
2,1,2,4,1,4,4,2,nw-estimate::machsuite-nw-1-0-1-2-0-2-2-1,4.0,3.035,54728,60160,71,0,5171,10949
2,2,1,4,2,1,2,2,nw-estimate::machsuite-nw-1-1-0-2-1-0-1-1,4.0,2.92,66922,72354,66,0,4554,9344
2,2,2,4,4,1,2,4,nw-estimate::machsuite-nw-1-1-1-2-2-0-1-2,4.0,2.92,66856,72288,72,0,5134,11829
1,4,2,4,4,1,2,4,nw-estimate::machsuite-nw-0-2-1-2-2-0-1-2,4.0,2.92,66856,72288,73,0,5046,11747
4,4,2,2,1,2,2,2,nw-estimate::machsuite-nw-2-2-1-1-0-1-1-1,4.0,3.068,66922,72354,70,0,4707,9547
1,1,4,4,2,2,2,2,nw-estimate::machsuite-nw-0-0-2-2-1-1-1-1,4.0,2.92,66922,72354,70,0,4818,9950
1,4,4,2,2,2,2,4,nw-estimate::machsuite-nw-0-2-2-1-1-1-1-2,4.0,2.92,66856,72288,73,0,5158,11372
4,2,2,4,4,2,4,4,nw-estimate::machsuite-nw-2-1-1-2-2-1-2-2,4.0,3.035,54662,60094,86,0,6750,15416
4,4,4,2,4,1,2,4,nw-estimate::machsuite-nw-2-2-2-1-2-0-1-2,4.0,2.92,66856,72288,76,0,5130,11835
2,4,1,4,2,1,2,2,nw-estimate::machsuite-nw-1-2-0-2-1-0-1-1,4.0,2.92,66922,72354,68,0,4529,9458
2,2,2,1,2,1,2,2,nw-estimate::machsuite-nw-1-1-1-0-1-0-1-1,4.0,2.92,66922,72354,62,0,4534,8915
2,1,4,1,1,2,2,2,nw-estimate::machsuite-nw-1-0-2-0-0-1-1-1,4.0,2.92,66922,72354,65,0,4780,9324
4,4,2,2,2,4,4,2,nw-estimate::machsuite-nw-2-2-1-1-1-2-2-1,4.0,3.068,54728,60160,88,0,5505,11411
2,4,2,4,1,2,2,2,nw-estimate::machsuite-nw-1-2-1-2-0-1-1-1,4.0,2.92,66922,72354,68,0,4707,9727
4,4,1,4,2,2,4,2,nw-estimate::machsuite-nw-2-2-0-2-1-1-2-1,4.0,3.035,54728,60160,76,0,5524,11451
2,2,2,4,4,4,4,4,nw-estimate::machsuite-nw-1-1-1-2-2-2-2-2,4.0,3.035,54662,60094,92,0,6737,15015
2,2,4,2,2,2,2,2,nw-estimate::machsuite-nw-1-1-2-1-1-1-1-1,4.0,2.92,66922,72354,72,0,4809,9350
1,2,2,4,1,2,2,2,nw-estimate::machsuite-nw-0-1-1-2-0-1-1-1,4.0,2.92,66922,72354,65,0,4680,9609
4,2,1,4,2,2,2,2,nw-estimate::machsuite-nw-2-1-0-2-1-1-1-1,4.0,2.92,66922,72354,74,0,4752,9487
2,1,1,4,2,4,4,2,nw-estimate::machsuite-nw-1-0-0-2-1-2-2-1,4.0,3.035,54728,60160,83,0,5373,10992
4,4,4,4,4,2,4,4,nw-estimate::machsuite-nw-2-2-2-2-2-1-2-2,4.0,3.035,54662,60094,88,0,6802,15762
2,2,4,2,2,2,2,4,nw-estimate::machsuite-nw-1-1-2-1-1-1-1-2,4.0,2.92,66856,72288,72,0,5181,11242
4,1,4,4,2,4,4,2,nw-estimate::machsuite-nw-2-0-2-2-1-2-2-1,4.0,3.035,54728,60160,85,0,5534,11495
4,1,2,2,2,2,2,2,nw-estimate::machsuite-nw-2-0-1-1-1-1-1-1,4.0,3.068,66922,72354,73,0,4684,9161
4,4,4,4,2,4,8,2,nw-estimate::machsuite-nw-2-2-2-2-1-2-3-1,4.0,3.035,50615,56047,88,0,6931,15261
4,4,2,2,4,2,2,4,nw-estimate::machsuite-nw-2-2-1-1-2-1-1-2,4.0,3.068,66856,72288,88,0,5480,11721
2,4,2,2,4,2,2,4,nw-estimate::machsuite-nw-1-2-1-1-2-1-1-2,4.0,3.068,66856,72288,86,0,5401,11475
4,1,2,4,1,4,4,2,nw-estimate::machsuite-nw-2-0-1-2-0-2-2-1,4.0,3.035,54728,60160,73,0,5173,11012
2,2,4,4,4,4,4,4,nw-estimate::machsuite-nw-1-1-2-2-2-2-2-2,4.0,3.035,54662,60094,92,0,6587,14742
1,1,2,1,1,2,2,2,nw-estimate::machsuite-nw-0-0-1-0-0-1-1-1,4.0,2.92,66922,72354,60,0,4759,9201
1,1,1,2,2,1,2,2,nw-estimate::machsuite-nw-0-0-0-1-1-0-1-1,4.0,2.92,66922,72354,60,0,4535,9040
2,2,2,2,2,1,2,2,nw-estimate::machsuite-nw-1-1-1-1-1-0-1-1,4.0,3.068,66922,72354,66,0,4538,9259
1,1,2,2,2,1,2,2,nw-estimate::machsuite-nw-0-0-1-1-1-0-1-1,4.0,3.068,66922,72354,64,0,4533,9120
2,4,4,4,1,2,2,2,nw-estimate::machsuite-nw-1-2-2-2-0-1-1-1,4.0,2.92,66922,72354,68,0,4773,10101
4,2,4,2,2,2,2,4,nw-estimate::machsuite-nw-2-1-2-1-1-1-1-2,4.0,2.92,66856,72288,74,0,5178,11484
2,1,2,2,1,2,2,2,nw-estimate::machsuite-nw-1-0-1-1-0-1-1-1,4.0,3.068,66922,72354,65,0,4665,9213
2,4,4,2,4,2,2,8,nw-estimate::machsuite-nw-1-2-2-1-2-1-1-3,4.0,2.92,66823,72255,86,0,6021,14693
1,2,4,1,2,2,2,4,nw-estimate::machsuite-nw-0-1-2-0-1-1-1-2,4.0,2.92,66856,72288,71,0,5237,11233
4,4,1,4,2,2,2,2,nw-estimate::machsuite-nw-2-2-0-2-1-1-1-1,4.0,2.92,66922,72354,76,0,4809,9633
4,2,4,2,4,4,4,4,nw-estimate::machsuite-nw-2-1-2-1-2-2-2-2,4.0,3.035,54662,60094,94,0,6709,15258
2,2,4,4,4,2,2,4,nw-estimate::machsuite-nw-1-1-2-2-2-1-1-2,4.0,2.92,66856,72288,84,0,5314,12030
2,1,2,2,2,2,2,2,nw-estimate::machsuite-nw-1-0-1-1-1-1-1-1,4.0,3.068,66922,72354,71,0,4681,8989
4,2,4,4,2,2,4,2,nw-estimate::machsuite-nw-2-1-2-2-1-1-2-1,4.0,3.035,54728,60160,74,0,5545,11821
2,4,2,4,2,4,4,4,nw-estimate::machsuite-nw-1-2-1-2-1-2-2-2,4.0,3.035,54662,60094,86,0,6095,14224
