bench,bank11,bank12,bank21,bank22,unroll1,unroll2,unroll3,target_clk,estimate_clk,est_min_lat,est_max_lat,est_bram,est_dsp,est_ff,est_lut,est_read_lat,est_compute_lat,est_write_lat
gemm-dse:gemm-0-0-0-2-3-2-0,1,1,1,3,6,4,1,4.0,2.92,10803231,10803231,96,24,9416,11641,32777,10754048,16401
gemm-dse:gemm-1-0-3-3-0-1-1,2,1,4,4,1,2,2,4.0,2.92,1097754,1097754,94,112,11214,7494,32776,1048582,16390
gemm-dse:gemm-2-3-2-2-2-3-2,3,4,3,3,4,6,4,4.0,2.92,344132,344132,134,1026,88023,49058,32778,294947,16401
gemm-dse:gemm-1-1-1-0-4-2-2,2,2,2,1,8,4,4,4.0,2.92,311380,311380,96,1972,137495,49035,32776,262207,16391
gemm-dse:gemm-3-0-3-3-4-3-0,4,1,4,4,8,6,1,4.0,2.92,11685907,11685907,98,192,21321,23690,32776,11636736,16390
gemm-dse:gemm-0-0-0-0-3-2-4,1,1,1,1,6,4,8,4.0,2.92,606484,606484,89,1536,108947,35796,32776,557312,16391
gemm-dse:gemm-1-3-3-2-0-1-2,2,4,4,3,1,2,4,4.0,2.92,344105,344105,114,130,15703,13519,32777,294921,16401
gemm-dse:gemm-1-1-2-2-2-4-2,2,2,3,3,4,8,4,4.0,2.92,344107,344107,102,1026,80733,36487,32778,294922,16401
gemm-dse:gemm-1-2-3-0-0-0-2,2,3,4,1,1,1,4,4.0,2.92,1097768,1097768,118,48,7542,8120,32777,1048594,16391
gemm-dse:gemm-3-3-1-1-1-2-0,4,4,2,2,2,4,1,4.0,2.92,7766036,7766036,98,32,4869,7099,32776,7716864,16391
gemm-dse:gemm-2-1-0-3-4-3-2,3,2,1,4,8,6,4,4.0,2.92,180276,180276,118,2048,155051,64516,32777,131102,16391
gemm-dse:gemm-1-3-3-0-1-4-1,2,4,4,1,2,8,2,4.0,2.92,344085,344085,98,488,38132,17561,32776,294912,16391
gemm-dse:gemm-0-3-1-1-0-1-2,1,4,2,2,1,2,4,4.0,2.92,573470,573470,98,128,12629,11316,32776,524297,16391
gemm-dse:gemm-2-1-3-3-2-3-2,3,2,4,4,4,6,4,4.0,2.92,180269,180269,118,1024,79311,42133,32777,131096,16390
gemm-dse:gemm-3-0-2-3-4-4-0,4,1,3,4,8,8,1,4.0,2.92,7987231,7987231,114,256,30192,21263,32777,7938048,16401
gemm-dse:gemm-3-0-0-1-1-0-2,4,1,1,2,2,1,4,4.0,2.92,1359892,1359892,96,64,8008,5092,32776,1310720,16391
gemm-dse:gemm-3-3-2-1-4-3-1,4,4,3,2,8,6,2,4.0,2.92,376874,376874,108,2048,148401,52745,32777,327690,16401
gemm-dse:gemm-0-1-0-1-4-2-4,1,2,1,2,8,4,8,4.0,2.92,311380,311380,92,1968,139108,49597,32776,262207,16391
