status,resource2,est_avg_lat,est_lut,unroll,resource1,est_ff,est_bram,est_dsp,est_min_lat,bench,bank1,bank2,est_max_lat
ok,RAM_T2P_BRAM,38937,3332,2,RAM_T2P_BRAM,3464,22,10,38937,test:dot-product-1-4-1-1-1,2,5,38937
ok,RAM_1P_BRAM,9628,24870,24,RAM_T2P_BRAM,45413,26,288,9628,test:dot-product-4-2-14-1-0,5,3,9628
ok,RAM_T2P_BRAM,30091,5454,3,RAM_T2P_BRAM,6891,22,24,30091,test:dot-product-3-4-2-1-1,4,5,30091
ok,RAM_T2P_BRAM,10308,23268,24,RAM_T2P_BRAM,38545,22,192,10308,test:dot-product-0-4-14-1-1,1,5,10308
ok,RAM_T2P_BRAM,10720,5623,5,RAM_T2P_BRAM,8504,24,40,10720,test:dot-product-0-2-4-1-1,1,3,10720
ok,RAM_T2P_BRAM,12326,9348,16,RAM_1P_BRAM,14646,24,80,12326,test:dot-product-2-0-11-0-1,3,1,12326
ok,RAM_1P_BRAM,10274,6134,30,RAM_T2P_BRAM,11136,24,150,10274,test:dot-product-0-5-16-1-0,1,6,10274
ok,RAM_T2P_BRAM,10307,8540,10,RAM_1P_BRAM,14885,24,80,10307,test:dot-product-2-1-8-0-1,3,2,10307
ok,RAM_T2P_BRAM,9170,10091,9,RAM_T2P_BRAM,16336,26,108,9170,test:dot-product-4-5-7-1-1,5,6,9170
ok,RAM_T2P_BRAM,10272,4697,20,RAM_T2P_BRAM,8407,20,80,10272,test:dot-product-3-0-13-1-1,4,1,10272
ok,RAM_T2P_BRAM,9320,5735,15,RAM_T2P_BRAM,12234,22,120,9320,test:dot-product-1-4-10-1-1,2,5,9320
ok,RAM_1P_BRAM,21323,2985,5,RAM_T2P_BRAM,3422,20,20,21323,test:dot-product-0-3-4-1-0,1,4,21323
ok,RAM_1P_BRAM,12322,3057,5,RAM_T2P_BRAM,3591,22,25,12322,test:dot-product-4-0-4-1-0,5,1,12322
ok,RAM_1P_BRAM,12319,3026,5,RAM_1P_BRAM,3336,20,20,12319,test:dot-product-1-0-4-0-0,2,1,12319
ok,RAM_1P_BRAM,10353,6119,25,RAM_T2P_BRAM,9688,20,100,10353,test:dot-product-0-1-15-1-0,1,2,10353
ok,RAM_1P_BRAM,10307,8572,10,RAM_T2P_BRAM,15011,24,80,10307,test:dot-product-1-2-8-1-0,2,3,10307
ok,RAM_1P_BRAM,10274,5290,24,RAM_T2P_BRAM,9632,24,120,10274,test:dot-product-0-2-14-1-0,1,3,10274
ok,RAM_1P_BRAM,12319,4721,20,RAM_T2P_BRAM,8130,20,80,12319,test:dot-product-3-0-13-1-0,4,1,12319
ok,RAM_1P_BRAM,38936,3589,2,RAM_1P_BRAM,3691,24,10,38936,test:dot-product-3-5-1-0-0,4,6,38936
ok,RAM_1P_BRAM,9515,21787,36,RAM_1P_BRAM,39036,24,288,9515,test:dot-product-4-4-17-0-0,5,5,9515
ok,RAM_T2P_BRAM,10271,2939,6,RAM_1P_BRAM,3796,20,24,10271,test:dot-product-1-1-5-0-1,2,2,10271
ok,RAM_1P_BRAM,12319,2562,3,RAM_1P_BRAM,2715,20,12,12319,test:dot-product-0-0-2-0-0,1,1,12319
ok,RAM_T2P_BRAM,10274,3624,10,RAM_1P_BRAM,5197,22,50,10274,test:dot-product-4-0-8-0-1,5,1,10274
ok,RAM_T2P_BRAM,10271,7061,30,RAM_1P_BRAM,12723,20,120,10271,test:dot-product-1-3-16-0-1,2,4,10271
ok,RAM_T2P_BRAM,12600,4629,15,RAM_1P_BRAM,6853,24,75,12600,test:dot-product-3-2-10-0-1,4,3,12600
