status,est_avg_lat,est_lut,bench,unroll,est_bram,bank2,est_min_lat,est_dsp,resource1,resource2,est_max_lat,est_ff,bank1
ok,10309,14844,test:dot-product-5-6-9-0-0,12,30,7,10309,144,RAM_1P_BRAM,RAM_1P_BRAM,10309,23438,6
ok,38939,4323,test:dot-product-4-6-1-1-1,2,28,7,38939,12,RAM_T2P_BRAM,RAM_T2P_BRAM,38939,4616,5
ok,69644,2798,test:dot-product-3-5-0-1-1,1,24,6,69644,4,RAM_T2P_BRAM,RAM_T2P_BRAM,69644,2391,4
ok,15903,6190,test:dot-product-1-4-6-0-1,8,22,5,15903,40,RAM_1P_BRAM,RAM_T2P_BRAM,15903,8186,2
ok,9626,12142,test:dot-product-4-6-7-0-0,9,28,7,9626,108,RAM_1P_BRAM,RAM_1P_BRAM,9626,17022,5
ok,10305,16162,test:dot-product-6-1-16-1-0,30,26,2,10305,240,RAM_T2P_BRAM,RAM_1P_BRAM,10305,30886,7
ok,10310,14123,test:dot-product-4-2-9-0-1,12,26,3,10310,144,RAM_1P_BRAM,RAM_T2P_BRAM,10310,23574,5
ok,9079,15712,test:dot-product-6-3-13-1-1,20,26,4,9079,160,RAM_T2P_BRAM,RAM_T2P_BRAM,9079,30159,7
ok,23564,3090,test:dot-product-7-7-3-1-0,4,20,8,23564,16,RAM_T2P_BRAM,RAM_1P_BRAM,23564,2988,8
ok,9897,5979,test:dot-product-1-2-4-1-1,5,24,3,9897,40,RAM_T2P_BRAM,RAM_T2P_BRAM,9897,9307,2
ok,8569,5544,test:dot-product-5-7-14-1-1,24,32,8,8569,120,RAM_T2P_BRAM,RAM_T2P_BRAM,8569,10465,6
ok,10989,4950,test:dot-product-0-5-2-1-1,3,24,6,10989,24,RAM_T2P_BRAM,RAM_T2P_BRAM,10989,7046,1
ok,15503,4099,test:dot-product-1-3-7-0-1,9,20,4,15503,36,RAM_1P_BRAM,RAM_T2P_BRAM,15503,5378,2
ok,23579,4226,test:dot-product-2-3-3-0-1,4,24,4,23579,20,RAM_1P_BRAM,RAM_T2P_BRAM,23579,5082,3
ok,9079,17213,test:dot-product-6-7-13-1-0,20,26,8,9079,160,RAM_T2P_BRAM,RAM_1P_BRAM,9079,31885,7
ok,15903,8707,test:dot-product-2-5-6-0-0,8,28,6,15903,40,RAM_1P_BRAM,RAM_1P_BRAM,15903,12064,3
ok,15903,6216,test:dot-product-3-4-6-1-1,8,22,5,15903,40,RAM_T2P_BRAM,RAM_T2P_BRAM,15903,8228,4
