force,pos,j_d1,j_d2,ur_loop1,ur_loop2,bench,target_clock,estimated_clock,min_latency,max_latency,bram_used,dsp48_used,ff_used,lut_used
1,2,2,2,2,4,md-knn-ur:machsuite-md-knn-0-1-1-1-1-3,4.0,2.92,20658,20658,648,1184,223589,124478
4,4,2,1,1,1,md-knn-ur:machsuite-md-knn-3-3-1-0-0-0,4.0,3.166,128779,128779,118,14,12644,9032
2,2,2,2,1,1,md-knn-ur:machsuite-md-knn-1-1-1-1-0-0,4.0,3.166,132875,132875,94,14,12700,9761
2,1,1,2,1,1,md-knn-ur:machsuite-md-knn-1-0-0-1-0-0,4.0,3.166,128779,128779,88,14,12615,8780
2,4,4,4,1,8,md-knn-ur:machsuite-md-knn-1-3-3-3-0-7,4.0,2.92,16564,16564,522,1184,198321,122761
2,4,2,2,4,1,md-knn-ur:machsuite-md-knn-1-3-1-1-3-0,4.0,3.562,128587,128587,106,14,15284,10718
4,4,1,2,2,2,md-knn-ur:machsuite-md-knn-3-3-0-1-1-1,4.0,2.92,17070,17070,672,592,138556,67605
4,4,4,2,1,4,md-knn-ur:machsuite-md-knn-3-3-3-1-0-3,4.0,2.92,17074,17074,438,592,113344,65824
4,2,1,2,2,1,md-knn-ur:machsuite-md-knn-3-1-0-1-1-0,4.0,3.554,132747,132747,106,14,13576,9571
2,1,1,1,1,2,md-knn-ur:machsuite-md-knn-1-0-0-0-0-1,4.0,2.92,18094,18094,357,296,70776,35404
1,4,2,1,2,1,md-knn-ur:machsuite-md-knn-0-3-1-0-1-0,4.0,3.554,128651,128651,100,14,13526,9350
1,1,1,2,1,1,md-knn-ur:machsuite-md-knn-0-0-0-1-0-0,4.0,3.166,128779,128779,82,14,12623,8546
2,1,1,4,1,4,md-knn-ur:machsuite-md-knn-1-0-0-3-0-3,4.0,2.92,16564,16564,360,1184,198302,120414
1,2,2,4,1,8,md-knn-ur:machsuite-md-knn-0-1-1-3-0-7,4.0,2.92,20660,20660,408,1184,198360,122985
4,4,2,2,1,1,md-knn-ur:machsuite-md-knn-3-3-1-1-0-0,4.0,3.166,128779,128779,118,14,12645,9499
2,2,4,2,2,4,md-knn-ur:machsuite-md-knn-1-1-3-1-1-3,4.0,2.92,20658,20658,696,1184,223601,127306
2,1,1,4,1,1,md-knn-ur:machsuite-md-knn-1-0-0-3-0-0,4.0,3.166,128779,128779,88,14,12616,8730
2,2,4,4,2,8,md-knn-ur:machsuite-md-knn-1-1-3-3-1-7,4.0,2.92,20404,20404,792,2368,393452,241952
1,2,2,1,2,1,md-knn-ur:machsuite-md-knn-0-1-1-0-1-0,4.0,3.554,132747,132747,88,14,13581,9046
4,2,4,1,2,2,md-knn-ur:machsuite-md-knn-3-1-3-0-1-1,4.0,2.92,21166,21166,660,592,138597,68789
4,2,1,4,1,1,md-knn-ur:machsuite-md-knn-3-1-0-3-0-0,4.0,3.166,132875,132875,106,14,12685,9187
4,1,4,2,1,2,md-knn-ur:machsuite-md-knn-3-0-3-1-0-1,4.0,2.92,17074,17074,420,592,113325,65533
2,4,4,1,2,1,md-knn-ur:machsuite-md-knn-1-3-3-0-1-0,4.0,3.554,128651,128651,106,14,13526,9978
1,4,1,2,2,2,md-knn-ur:machsuite-md-knn-0-3-0-1-1-1,4.0,2.92,17070,17070,660,592,138550,67419
1,1,4,1,2,2,md-knn-ur:machsuite-md-knn-0-0-3-0-1-1,4.0,2.92,17070,17070,648,592,138536,68295
1,2,2,4,1,1,md-knn-ur:machsuite-md-knn-0-1-1-3-0-0,4.0,3.166,132875,132875,88,14,12700,9419
2,2,4,4,1,8,md-knn-ur:machsuite-md-knn-1-1-3-3-0-7,4.0,2.92,20660,20660,510,1184,198726,123615
2,2,4,4,1,1,md-knn-ur:machsuite-md-knn-1-1-3-3-0-0,4.0,3.166,132875,132875,142,14,12693,9915
1,4,2,4,1,4,md-knn-ur:machsuite-md-knn-0-3-1-3-0-3,4.0,2.92,16564,16564,420,1184,198311,122771
